모델명,카테고리,상품설명,가격,중고가격,감가율
SK매직 GRA-B3216D,가스레인지,3년 사용했습니다. 외관 약간 흠집이며 고장 없음. 정품 인증서 포함.,113920,76326,0.33
SK매직 GRA-B322K,가스레인지,3년 사용했습니다. 상태 최상하지만 화면 금 갔음. 추가 액세서리 포함.,174080,107929,0.38
린나이 RBR-P4400,가스레인지,2년 사용했습니다. 사용감 있음그리고 배터리 효율 낮음. 정품 인증서 포함.,436700,288221,0.34
린나이 RT-5102,가스레인지,6개월 사용했습니다. 상태 양호하지만 액정 파손. 추가 액세서리 포함.,250380,192792,0.23
린나이 INBS301DJ,가스레인지,1개월 사용했습니다. 상태 최상하지만 액정 파손. 추가 액세서리 포함.,167350,142247,0.15
SK매직 GRAB221K,가스레인지,2년 사용했습니다. 생활흔적 있음그리고 액정 파손. 박스 및 구성품 있음.,85440,46992,0.45
린나이 RBR-S3307DJ,가스레인지,4년 사용했습니다. 상태 보통그리고 화면 금 갔음. 박스 없음.,158790,63516,0.6
린나이 RBR-S3001D,가스레인지,거의 사용하지 않음. 생활흔적 있음그리고 배터리 효율 낮음. 정품 인증서 포함.,213600,173016,0.19
린나이 CTA22NJ,가스레인지,1개월 사용했습니다. 상태 최상이며 작동 이상 없음. 충전기 없음.,138600,124740,0.1
린나이 RT-1620I,가스레인지,1년 사용했습니다. 상태 양호하지만 배터리 효율 낮음.,189730,151784,0.2
매직쉐프 MMW-W23FDHW,가스레인지,5년 사용했습니다. 외관 약간 흠집그리고 액정 파손. 박스 및 구성품 있음.,119960,31189,0.74
린나이 RT-1080IJ,가스레인지,6개월 사용했습니다. 상태 최상하지만 액정 파손. 박스 없음.,128060,99886,0.22
린나이 INCP2032WJ,가스레인지,1년 사용했습니다. 외관 심한 흠집이며 작동 이상 없음. 박스 및 구성품 있음.,143060,114448,0.2
SK매직 GRA-B3218D,가스레인지,거의 사용하지 않음. 외관 심한 흠집그리고 액정 파손.,147990,96193,0.35
린나이 RT-6520I,가스레인지,1년 사용했습니다. 상태 양호이며 고장 없음. 박스 및 구성품 있음.,188810,169929,0.1
린나이 CPBC611DJ,가스레인지,거의 사용하지 않음. 상태 최상이며 고장 없음. 충전기 없음.,176080,158472,0.1
SK매직 GRA-BA301D,가스레인지,1년 사용했습니다. 상태 최상하지만 화면 금 갔음. 추가 액세서리 포함.,229020,187796,0.18
린나이 RBR-PF3000,가스레인지,6개월 사용했습니다. 상태 양호이며 고장 없음.,294960,265464,0.1
SK매직 뉴에코 GRA-851SR,가스레인지,6개월 사용했습니다. 생활흔적 있음이며 고장 없음.,128820,115938,0.1
린나이 RBR-S6201D,가스레인지,5년 사용했습니다. 상태 보통이며 작동 이상 없음. 박스 없음.,180000,80999,0.55
린나이 RBR-P3511WD,가스레인지,거의 사용하지 않음. 생활흔적 있음이며 작동 이상 없음. 정품 인증서 포함.,241400,217260,0.1
린나이 RBR-P2501D,가스레인지,2년 사용했습니다. 사용감 있음그리고 배터리 효율 낮음. 정품 인증서 포함.,210750,139094,0.34
SK매직 뉴에코 GRA-910SR,가스레인지,1년 사용했습니다. 사용감 있음그리고 액정 파손. 박스 없음.,171700,108171,0.37
SK매직 GRA-F2NRH,가스레인지,5년 사용했습니다. 외관 심한 흠집그리고 생활 기스 있음. 추가 액세서리 포함.,116450,43086,0.63
린나이 GTA24SJ,가스레인지,거의 사용하지 않음. 사용감 있음그리고 배터리 효율 낮음. 충전기 없음.,133400,102718,0.23
SK매직 뉴에코 GRA-841SR (GRA-841R),가스레인지,거의 사용하지 않음. 사용감 있음그리고 생활 기스 있음. 추가 액세서리 포함.,144000,125280,0.13
린나이 RBR-S3000,가스레인지,5년 사용했습니다. 상태 보통그리고 생활 기스 있음. 추가 액세서리 포함.,218950,96337,0.56
하츠 GC-3605SDBH,가스레인지,6개월 사용했습니다. 상태 양호이며 작동 이상 없음. 정품 인증서 포함.,135000,121500,0.1
린나이 RBR-S3603DIJ,가스레인지,4년 사용했습니다. 외관 약간 흠집이며 고장 없음. 정품 인증서 포함.,156710,89324,0.43
SK매직 GRA-B3FDD,가스레인지,5년 사용했습니다. 외관 심한 흠집그리고 배터리 효율 낮음.,126000,37800,0.7
린나이 RBR-S4000,가스레인지,2년 사용했습니다. 상태 최상하지만 배터리 효율 낮음.,260460,195345,0.25
SK매직 GRA-B3216D,가스레인지,거의 사용하지 않음. 사용감 있음그리고 배터리 효율 낮음. 추가 액세서리 포함.,113920,93414,0.18
SK매직 GRA-B322K,가스레인지,1개월 사용했습니다. 사용감 있음이며 작동 이상 없음.,174080,156672,0.1
린나이 RBR-P4400,가스레인지,5년 사용했습니다. 외관 약간 흠집이며 작동 이상 없음. 박스 및 구성품 있음.,436700,200881,0.54
린나이 RT-5102,가스레인지,거의 사용하지 않음. 상태 보통그리고 액정 파손. 정품 인증서 포함.,250380,182777,0.27
린나이 INBS301DJ,가스레인지,1년 사용했습니다. 상태 보통이며 작동 이상 없음. 추가 액세서리 포함.,167350,148941,0.11
SK매직 GRAB221K,가스레인지,3년 사용했습니다. 외관 약간 흠집그리고 생활 기스 있음.,85440,52118,0.39
린나이 RBR-S3307DJ,가스레인지,5년 사용했습니다. 사용감 있음그리고 배터리 효율 낮음. 추가 액세서리 포함.,158790,58752,0.63
린나이 RBR-S3001D,가스레인지,거의 사용하지 않음. 외관 심한 흠집그리고 배터리 효율 낮음.,213600,160200,0.25
린나이 CTA22NJ,가스레인지,4년 사용했습니다. 상태 보통그리고 화면 금 갔음. 추가 액세서리 포함.,138600,60983,0.56
린나이 RT-1620I,가스레인지,6개월 사용했습니다. 상태 보통이며 작동 이상 없음. 충전기 없음.,189730,168859,0.11
매직쉐프 MMW-W23FDHW,가스레인지,4년 사용했습니다. 외관 심한 흠집그리고 배터리 효율 낮음. 충전기 없음.,119960,44385,0.63
린나이 RT-1080IJ,가스레인지,거의 사용하지 않음. 상태 양호이며 작동 이상 없음. 추가 액세서리 포함.,128060,115254,0.1
린나이 INCP2032WJ,가스레인지,1개월 사용했습니다. 생활흔적 있음이며 작동 이상 없음. 박스 및 구성품 있음.,143060,128754,0.1
SK매직 GRA-B3218D,가스레인지,1개월 사용했습니다. 외관 심한 흠집이며 작동 이상 없음. 박스 및 구성품 있음.,147990,130231,0.12
린나이 RT-6520I,가스레인지,4년 사용했습니다. 상태 최상하지만 배터리 효율 낮음. 충전기 없음.,188810,98181,0.48
린나이 CPBC611DJ,가스레인지,1개월 사용했습니다. 상태 보통이며 고장 없음.,176080,158472,0.1
SK매직 GRA-BA301D,가스레인지,3년 사용했습니다. 외관 심한 흠집그리고 액정 파손.,229020,91608,0.6
린나이 RBR-PF3000,가스레인지,5년 사용했습니다. 생활흔적 있음그리고 화면 금 갔음. 박스 없음.,294960,82588,0.72
SK매직 뉴에코 GRA-851SR,가스레인지,1개월 사용했습니다. 상태 최상하지만 화면 금 갔음. 정품 인증서 포함.,128820,114649,0.11
린나이 RBR-S6201D,가스레인지,거의 사용하지 않음. 상태 보통그리고 액정 파손. 박스 없음.,180000,125999,0.3
린나이 RBR-P3511WD,가스레인지,4년 사용했습니다. 외관 심한 흠집그리고 생활 기스 있음. 추가 액세서리 포함.,241400,113458,0.53
린나이 RBR-P2501D,가스레인지,1개월 사용했습니다. 상태 양호하지만 액정 파손. 충전기 없음.,210750,158062,0.25
SK매직 뉴에코 GRA-910SR,가스레인지,거의 사용하지 않음. 상태 보통이며 고장 없음. 정품 인증서 포함.,171700,154530,0.1
SK매직 GRA-F2NRH,가스레인지,거의 사용하지 않음. 외관 심한 흠집그리고 생활 기스 있음. 추가 액세서리 포함.,116450,95489,0.18
린나이 GTA24SJ,가스레인지,5년 사용했습니다. 사용감 있음그리고 화면 금 갔음. 박스 및 구성품 있음.,133400,40020,0.7
SK매직 뉴에코 GRA-841SR (GRA-841R),가스레인지,거의 사용하지 않음. 상태 최상하지만 배터리 효율 낮음. 충전기 없음.,144000,125280,0.13
린나이 RBR-S3000,가스레인지,5년 사용했습니다. 외관 심한 흠집그리고 액정 파손. 박스 없음.,218950,39411,0.82
하츠 GC-3605SDBH,가스레인지,거의 사용하지 않음. 생활흔적 있음그리고 액정 파손. 충전기 없음.,135000,90449,0.33
린나이 RBR-S3603DIJ,가스레인지,거의 사용하지 않음. 상태 보통그리고 액정 파손. 추가 액세서리 포함.,156710,115965,0.26
SK매직 GRA-B3FDD,가스레인지,4년 사용했습니다. 상태 보통그리고 생활 기스 있음. 박스 없음.,126000,63000,0.5
린나이 RBR-S4000,가스레인지,거의 사용하지 않음. 상태 보통이며 작동 이상 없음. 정품 인증서 포함.,260460,234414,0.1
SK매직 GRA-B3216D,가스레인지,2년 사용했습니다. 외관 심한 흠집그리고 액정 파손. 충전기 없음.,113920,53542,0.53
SK매직 GRA-B322K,가스레인지,거의 사용하지 않음. 사용감 있음이며 고장 없음. 정품 인증서 포함.,174080,156672,0.1
린나이 RBR-P4400,가스레인지,3년 사용했습니다. 외관 심한 흠집그리고 액정 파손.,436700,174680,0.6
린나이 RT-5102,가스레인지,3년 사용했습니다. 상태 최상이며 고장 없음. 충전기 없음.,250380,180273,0.28
린나이 INBS301DJ,가스레인지,1개월 사용했습니다. 외관 심한 흠집이며 고장 없음. 박스 및 구성품 있음.,167350,147268,0.12
SK매직 GRAB221K,가스레인지,3년 사용했습니다. 생활흔적 있음그리고 액정 파손. 박스 없음.,85440,36739,0.57
린나이 RBR-S3307DJ,가스레인지,6개월 사용했습니다. 상태 양호하지만 액정 파손. 정품 인증서 포함.,158790,120680,0.24
린나이 RBR-S3001D,가스레인지,4년 사용했습니다. 사용감 있음이며 고장 없음. 박스 없음.,213600,113208,0.47
린나이 CTA22NJ,가스레인지,1년 사용했습니다. 외관 심한 흠집그리고 배터리 효율 낮음. 추가 액세서리 포함.,138600,99792,0.28
린나이 RT-1620I,가스레인지,1년 사용했습니다. 사용감 있음그리고 생활 기스 있음. 충전기 없음.,189730,146092,0.23
매직쉐프 MMW-W23FDHW,가스레인지,1년 사용했습니다. 외관 심한 흠집이며 고장 없음. 박스 및 구성품 있음.,119960,95968,0.2
린나이 RT-1080IJ,가스레인지,2년 사용했습니다. 외관 심한 흠집그리고 화면 금 갔음. 박스 및 구성품 있음.,128060,70433,0.45
린나이 INCP2032WJ,가스레인지,1년 사용했습니다. 상태 보통그리고 액정 파손. 충전기 없음.,143060,91558,0.36
SK매직 GRA-B3218D,가스레인지,거의 사용하지 않음. 생활흔적 있음이며 작동 이상 없음. 충전기 없음.,147990,128751,0.13
린나이 RT-6520I,가스레인지,1년 사용했습니다. 상태 최상이며 고장 없음. 박스 및 구성품 있음.,188810,169929,0.1
린나이 CPBC611DJ,가스레인지,거의 사용하지 않음. 상태 보통그리고 액정 파손. 정품 인증서 포함.,176080,128538,0.27
SK매직 GRA-BA301D,가스레인지,4년 사용했습니다. 상태 보통그리고 액정 파손.,229020,84737,0.63
린나이 RBR-PF3000,가스레인지,5년 사용했습니다. 상태 보통그리고 화면 금 갔음. 충전기 없음.,294960,85538,0.71
SK매직 뉴에코 GRA-851SR,가스레인지,3년 사용했습니다. 외관 약간 흠집그리고 생활 기스 있음. 박스 및 구성품 있음.,128820,78580,0.39
린나이 RBR-S6201D,가스레인지,4년 사용했습니다. 상태 양호이며 고장 없음. 충전기 없음.,180000,102600,0.43
린나이 RBR-P3511WD,가스레인지,1년 사용했습니다. 외관 심한 흠집이며 고장 없음.,241400,193120,0.2
린나이 RBR-P2501D,가스레인지,거의 사용하지 않음. 사용감 있음이며 작동 이상 없음. 박스 없음.,210750,185460,0.12
SK매직 뉴에코 GRA-910SR,가스레인지,5년 사용했습니다. 생활흔적 있음그리고 생활 기스 있음. 정품 인증서 포함.,171700,70397,0.59
SK매직 GRA-F2NRH,가스레인지,6개월 사용했습니다. 상태 보통이며 작동 이상 없음. 추가 액세서리 포함.,116450,104805,0.1
린나이 GTA24SJ,가스레인지,1년 사용했습니다. 생활흔적 있음이며 고장 없음. 충전기 없음.,133400,109388,0.18
SK매직 뉴에코 GRA-841SR (GRA-841R),가스레인지,거의 사용하지 않음. 상태 최상하지만 액정 파손. 정품 인증서 포함.,144000,116640,0.19
린나이 RBR-S3000,가스레인지,거의 사용하지 않음. 상태 최상하지만 화면 금 갔음. 박스 없음.,218950,181728,0.17
하츠 GC-3605SDBH,가스레인지,6개월 사용했습니다. 사용감 있음이며 고장 없음. 정품 인증서 포함.,135000,121500,0.1
린나이 RBR-S3603DIJ,가스레인지,6개월 사용했습니다. 상태 최상하지만 배터리 효율 낮음. 박스 및 구성품 있음.,156710,141039,0.1
SK매직 GRA-B3FDD,가스레인지,6개월 사용했습니다. 외관 약간 흠집그리고 액정 파손. 박스 없음.,126000,86940,0.31
린나이 RBR-S4000,가스레인지,1년 사용했습니다. 외관 약간 흠집그리고 액정 파손. 추가 액세서리 포함.,260460,177112,0.32
SK매직 GRA-B3216D,가스레인지,2년 사용했습니다. 외관 약간 흠집이며 고장 없음.,113920,86579,0.24
SK매직 GRA-B322K,가스레인지,1개월 사용했습니다. 외관 약간 흠집이며 고장 없음. 정품 인증서 포함.,174080,156672,0.1
린나이 RBR-P4400,가스레인지,1년 사용했습니다. 외관 심한 흠집그리고 생활 기스 있음. 박스 및 구성품 있음.,436700,327525,0.25
린나이 RT-5102,가스레인지,6개월 사용했습니다. 상태 보통그리고 화면 금 갔음. 충전기 없음.,250380,185281,0.26
린나이 INBS301DJ,가스레인지,6개월 사용했습니다. 상태 양호이며 고장 없음. 박스 및 구성품 있음.,167350,150615,0.1
SK매직 GRAB221K,가스레인지,4년 사용했습니다. 상태 보통이며 작동 이상 없음. 박스 없음.,85440,46992,0.45
린나이 RBR-S3307DJ,가스레인지,거의 사용하지 않음. 생활흔적 있음그리고 배터리 효율 낮음. 박스 및 구성품 있음.,158790,127032,0.2
린나이 RBR-S3001D,가스레인지,거의 사용하지 않음. 외관 약간 흠집그리고 생활 기스 있음. 정품 인증서 포함.,213600,185832,0.13
린나이 CTA22NJ,가스레인지,2년 사용했습니다. 상태 최상이며 작동 이상 없음.,138600,117810,0.15
린나이 RT-1620I,가스레인지,5년 사용했습니다. 외관 약간 흠집그리고 화면 금 갔음. 추가 액세서리 포함.,189730,62610,0.67
매직쉐프 MMW-W23FDHW,가스레인지,4년 사용했습니다. 외관 심한 흠집그리고 화면 금 갔음. 박스 및 구성품 있음.,119960,41986,0.65
린나이 RT-1080IJ,가스레인지,3년 사용했습니다. 생활흔적 있음그리고 배터리 효율 낮음. 박스 없음.,128060,67871,0.47
린나이 INCP2032WJ,가스레인지,2년 사용했습니다. 상태 양호하지만 액정 파손.,143060,85836,0.4
SK매직 GRA-B3218D,가스레인지,3년 사용했습니다. 상태 최상하지만 액정 파손. 추가 액세서리 포함.,147990,84354,0.43
린나이 RT-6520I,가스레인지,4년 사용했습니다. 외관 심한 흠집그리고 액정 파손. 박스 없음.,188810,52866,0.72
린나이 CPBC611DJ,가스레인지,2년 사용했습니다. 외관 약간 흠집이며 작동 이상 없음. 추가 액세서리 포함.,176080,137342,0.22
SK매직 GRA-BA301D,가스레인지,6개월 사용했습니다. 외관 심한 흠집그리고 생활 기스 있음. 박스 없음.,229020,178635,0.22
린나이 RBR-PF3000,가스레인지,1년 사용했습니다. 외관 심한 흠집그리고 배터리 효율 낮음. 박스 및 구성품 있음.,294960,206472,0.3
SK매직 뉴에코 GRA-851SR,가스레인지,1개월 사용했습니다. 사용감 있음그리고 화면 금 갔음. 박스 및 구성품 있음.,128820,100479,0.22
린나이 RBR-S6201D,가스레인지,2년 사용했습니다. 상태 최상이며 고장 없음. 정품 인증서 포함.,180000,154800,0.14
린나이 RBR-P3511WD,가스레인지,5년 사용했습니다. 외관 약간 흠집그리고 배터리 효율 낮음.,241400,86904,0.64
린나이 RBR-P2501D,가스레인지,4년 사용했습니다. 상태 양호하지만 생활 기스 있음. 박스 및 구성품 있음.,210750,115912,0.45
SK매직 뉴에코 GRA-910SR,가스레인지,6개월 사용했습니다. 상태 최상하지만 배터리 효율 낮음. 충전기 없음.,171700,149379,0.13
SK매직 GRA-F2NRH,가스레인지,3년 사용했습니다. 상태 보통이며 작동 이상 없음. 추가 액세서리 포함.,116450,80350,0.31
린나이 GTA24SJ,가스레인지,1년 사용했습니다. 외관 약간 흠집그리고 생활 기스 있음.,133400,108054,0.19
SK매직 뉴에코 GRA-841SR (GRA-841R),가스레인지,3년 사용했습니다. 상태 최상하지만 생활 기스 있음. 충전기 없음.,144000,96479,0.33
린나이 RBR-S3000,가스레인지,5년 사용했습니다. 외관 심한 흠집이며 고장 없음. 박스 없음.,218950,83201,0.62
하츠 GC-3605SDBH,가스레인지,2년 사용했습니다. 상태 보통그리고 액정 파손. 추가 액세서리 포함.,135000,79650,0.41
린나이 RBR-S3603DIJ,가스레인지,2년 사용했습니다. 상태 최상하지만 생활 기스 있음. 추가 액세서리 포함.,156710,128502,0.18
SK매직 GRA-B3FDD,가스레인지,1개월 사용했습니다. 상태 보통이며 고장 없음. 추가 액세서리 포함.,126000,113400,0.1
린나이 RBR-S4000,가스레인지,1개월 사용했습니다. 외관 심한 흠집그리고 배터리 효율 낮음.,260460,203158,0.22
SK매직 GRA-B3216D,가스레인지,거의 사용하지 않음. 사용감 있음그리고 화면 금 갔음. 충전기 없음.,113920,82022,0.28
SK매직 GRA-B322K,가스레인지,2년 사용했습니다. 상태 양호하지만 화면 금 갔음. 정품 인증서 포함.,174080,114892,0.34
린나이 RBR-P4400,가스레인지,2년 사용했습니다. 상태 양호하지만 생활 기스 있음.,436700,327525,0.25
린나이 RT-5102,가스레인지,3년 사용했습니다. 상태 양호하지만 액정 파손.,250380,125190,0.5
린나이 INBS301DJ,가스레인지,1년 사용했습니다. 외관 약간 흠집이며 작동 이상 없음.,167350,143921,0.14
SK매직 GRAB221K,가스레인지,거의 사용하지 않음. 사용감 있음그리고 생활 기스 있음. 박스 없음.,85440,70915,0.17
린나이 RBR-S3307DJ,가스레인지,3년 사용했습니다. 외관 심한 흠집이며 작동 이상 없음. 박스 및 구성품 있음.,158790,95274,0.4
린나이 RBR-S3001D,가스레인지,4년 사용했습니다. 외관 약간 흠집이며 작동 이상 없음. 박스 없음.,213600,115344,0.46
린나이 CTA22NJ,가스레인지,2년 사용했습니다. 외관 약간 흠집그리고 액정 파손. 박스 및 구성품 있음.,138600,77616,0.44
린나이 RT-1620I,가스레인지,1개월 사용했습니다. 외관 심한 흠집그리고 화면 금 갔음. 충전기 없음.,189730,132811,0.3
매직쉐프 MMW-W23FDHW,가스레인지,1년 사용했습니다. 생활흔적 있음이며 작동 이상 없음. 추가 액세서리 포함.,119960,104365,0.13
린나이 RT-1080IJ,가스레인지,거의 사용하지 않음. 상태 양호이며 고장 없음. 박스 없음.,128060,115254,0.1
린나이 INCP2032WJ,가스레인지,2년 사용했습니다. 사용감 있음그리고 생활 기스 있음. 정품 인증서 포함.,143060,101572,0.29
SK매직 GRA-B3218D,가스레인지,거의 사용하지 않음. 사용감 있음그리고 액정 파손.,147990,103593,0.3
린나이 RT-6520I,가스레인지,6개월 사용했습니다. 사용감 있음그리고 액정 파손.,188810,132167,0.3
린나이 CPBC611DJ,가스레인지,4년 사용했습니다. 상태 양호하지만 화면 금 갔음. 추가 액세서리 포함.,176080,82757,0.53
SK매직 GRA-BA301D,가스레인지,5년 사용했습니다. 사용감 있음그리고 배터리 효율 낮음. 박스 및 구성품 있음.,229020,80157,0.65
린나이 RBR-PF3000,가스레인지,2년 사용했습니다. 상태 양호하지만 생활 기스 있음. 정품 인증서 포함.,294960,224169,0.24
SK매직 뉴에코 GRA-851SR,가스레인지,6개월 사용했습니다. 상태 보통그리고 화면 금 갔음. 추가 액세서리 포함.,128820,101767,0.21
린나이 RBR-S6201D,가스레인지,5년 사용했습니다. 상태 양호하지만 화면 금 갔음. 정품 인증서 포함.,180000,64800,0.64
린나이 RBR-P3511WD,가스레인지,4년 사용했습니다. 생활흔적 있음그리고 생활 기스 있음. 박스 및 구성품 있음.,241400,120700,0.5
린나이 RBR-P2501D,가스레인지,2년 사용했습니다. 상태 양호하지만 액정 파손. 충전기 없음.,210750,120127,0.43
SK매직 뉴에코 GRA-910SR,가스레인지,4년 사용했습니다. 외관 심한 흠집그리고 화면 금 갔음.,171700,60094,0.65
SK매직 GRA-F2NRH,가스레인지,거의 사용하지 않음. 상태 양호이며 작동 이상 없음.,116450,104805,0.1
린나이 GTA24SJ,가스레인지,1개월 사용했습니다. 상태 양호하지만 화면 금 갔음.,133400,110722,0.17
SK매직 뉴에코 GRA-841SR (GRA-841R),가스레인지,거의 사용하지 않음. 외관 약간 흠집그리고 액정 파손.,144000,102240,0.29
린나이 RBR-S3000,가스레인지,거의 사용하지 않음. 외관 심한 흠집그리고 액정 파손. 정품 인증서 포함.,218950,144506,0.34
하츠 GC-3605SDBH,가스레인지,1년 사용했습니다. 외관 심한 흠집이며 고장 없음. 충전기 없음.,135000,103950,0.23
린나이 RBR-S3603DIJ,가스레인지,2년 사용했습니다. 상태 보통그리고 생활 기스 있음. 박스 없음.,156710,109697,0.3
SK매직 GRA-B3FDD,가스레인지,1년 사용했습니다. 생활흔적 있음그리고 화면 금 갔음. 박스 없음.,126000,85679,0.32
린나이 RBR-S4000,가스레인지,6개월 사용했습니다. 외관 심한 흠집그리고 액정 파손.,260460,169299,0.35
SK매직 GRA-B3216D,가스레인지,6개월 사용했습니다. 외관 심한 흠집그리고 생활 기스 있음. 충전기 없음.,113920,87718,0.23
SK매직 GRA-B322K,가스레인지,1개월 사용했습니다. 상태 최상이며 작동 이상 없음. 정품 인증서 포함.,174080,156672,0.1
린나이 RBR-P4400,가스레인지,4년 사용했습니다. 상태 보통그리고 배터리 효율 낮음. 추가 액세서리 포함.,436700,213983,0.51
린나이 RT-5102,가스레인지,5년 사용했습니다. 상태 보통그리고 액정 파손. 충전기 없음.,250380,60091,0.76
린나이 INBS301DJ,가스레인지,1년 사용했습니다. 생활흔적 있음그리고 배터리 효율 낮음. 추가 액세서리 포함.,167350,128859,0.23
SK매직 GRAB221K,가스레인지,1개월 사용했습니다. 외관 심한 흠집그리고 화면 금 갔음. 추가 액세서리 포함.,85440,64080,0.25
린나이 RBR-S3307DJ,가스레인지,거의 사용하지 않음. 생활흔적 있음이며 작동 이상 없음. 박스 없음.,158790,139735,0.12
린나이 RBR-S3001D,가스레인지,5년 사용했습니다. 상태 보통그리고 화면 금 갔음. 박스 및 구성품 있음.,213600,68351,0.68
린나이 CTA22NJ,가스레인지,6개월 사용했습니다. 상태 보통이며 고장 없음.,138600,124740,0.1
린나이 RT-1620I,가스레인지,6개월 사용했습니다. 생활흔적 있음그리고 액정 파손.,189730,132811,0.3
매직쉐프 MMW-W23FDHW,가스레인지,5년 사용했습니다. 외관 약간 흠집그리고 화면 금 갔음. 추가 액세서리 포함.,119960,39586,0.67
린나이 RT-1080IJ,가스레인지,6개월 사용했습니다. 상태 양호하지만 배터리 효율 낮음.,128060,108851,0.15
린나이 INCP2032WJ,가스레인지,2년 사용했습니다. 외관 심한 흠집그리고 배터리 효율 낮음. 박스 및 구성품 있음.,143060,85836,0.4
SK매직 GRA-B3218D,가스레인지,1개월 사용했습니다. 사용감 있음이며 고장 없음. 충전기 없음.,147990,133191,0.1
린나이 RT-6520I,가스레인지,2년 사용했습니다. 상태 보통그리고 배터리 효율 낮음.,188810,126502,0.33
린나이 CPBC611DJ,가스레인지,2년 사용했습니다. 사용감 있음그리고 화면 금 갔음. 박스 및 구성품 있음.,176080,105648,0.4
SK매직 GRA-BA301D,가스레인지,거의 사용하지 않음. 상태 양호하지만 액정 파손. 박스 및 구성품 있음.,229020,171765,0.25
린나이 RBR-PF3000,가스레인지,2년 사용했습니다. 상태 양호하지만 화면 금 갔음. 정품 인증서 포함.,294960,194673,0.34
SK매직 뉴에코 GRA-851SR,가스레인지,2년 사용했습니다. 외관 심한 흠집이며 작동 이상 없음. 추가 액세서리 포함.,128820,92750,0.28
린나이 RBR-S6201D,가스레인지,2년 사용했습니다. 상태 양호하지만 액정 파손. 충전기 없음.,180000,102600,0.43
린나이 RBR-P3511WD,가스레인지,거의 사용하지 않음. 상태 양호하지만 생활 기스 있음. 충전기 없음.,241400,210018,0.13
린나이 RBR-P2501D,가스레인지,3년 사용했습니다. 상태 양호하지만 화면 금 갔음. 충전기 없음.,210750,109590,0.48
SK매직 뉴에코 GRA-910SR,가스레인지,4년 사용했습니다. 상태 최상하지만 액정 파손.,171700,77264,0.55
SK매직 GRA-F2NRH,가스레인지,2년 사용했습니다. 생활흔적 있음이며 고장 없음. 정품 인증서 포함.,116450,88502,0.24
린나이 GTA24SJ,가스레인지,2년 사용했습니다. 상태 최상하지만 화면 금 갔음. 충전기 없음.,133400,89377,0.33
SK매직 뉴에코 GRA-841SR (GRA-841R),가스레인지,4년 사용했습니다. 상태 양호하지만 생활 기스 있음. 정품 인증서 포함.,144000,80640,0.44
린나이 RBR-S3000,가스레인지,2년 사용했습니다. 상태 양호이며 고장 없음.,218950,175160,0.2
하츠 GC-3605SDBH,가스레인지,1개월 사용했습니다. 외관 심한 흠집그리고 배터리 효율 낮음. 박스 및 구성품 있음.,135000,105300,0.22
린나이 RBR-S3603DIJ,가스레인지,6개월 사용했습니다. 사용감 있음그리고 액정 파손. 정품 인증서 포함.,156710,111264,0.29
SK매직 GRA-B3FDD,가스레인지,1년 사용했습니다. 상태 양호이며 고장 없음. 추가 액세서리 포함.,126000,113400,0.1
린나이 RBR-S4000,가스레인지,1년 사용했습니다. 외관 심한 흠집이며 작동 이상 없음. 추가 액세서리 포함.,260460,213577,0.18
SK매직 GRA-B3216D,가스레인지,1년 사용했습니다. 상태 최상하지만 생활 기스 있음. 박스 없음.,113920,100249,0.12
SK매직 GRA-B322K,가스레인지,4년 사용했습니다. 사용감 있음이며 고장 없음. 충전기 없음.,174080,90521,0.48
린나이 RBR-P4400,가스레인지,1개월 사용했습니다. 상태 보통그리고 화면 금 갔음. 추가 액세서리 포함.,436700,358094,0.18
린나이 RT-5102,가스레인지,1년 사용했습니다. 상태 최상이며 고장 없음.,250380,225342,0.1
린나이 INBS301DJ,가스레인지,1개월 사용했습니다. 외관 심한 흠집그리고 화면 금 갔음. 박스 없음.,167350,118818,0.29
SK매직 GRAB221K,가스레인지,2년 사용했습니다. 외관 심한 흠집그리고 생활 기스 있음. 충전기 없음.,85440,52972,0.38
린나이 RBR-S3307DJ,가스레인지,5년 사용했습니다. 외관 심한 흠집그리고 생활 기스 있음.,158790,55576,0.65
린나이 RBR-S3001D,가스레인지,1년 사용했습니다. 상태 양호하지만 생활 기스 있음. 추가 액세서리 포함.,213600,185832,0.13
린나이 CTA22NJ,가스레인지,3년 사용했습니다. 상태 보통그리고 화면 금 갔음. 박스 및 구성품 있음.,138600,72072,0.48
린나이 RT-1620I,가스레인지,거의 사용하지 않음. 상태 양호하지만 생활 기스 있음. 충전기 없음.,189730,165065,0.13
매직쉐프 MMW-W23FDHW,가스레인지,1개월 사용했습니다. 상태 최상하지만 액정 파손.,119960,99566,0.17
린나이 RT-1080IJ,가스레인지,4년 사용했습니다. 외관 심한 흠집그리고 화면 금 갔음. 박스 없음.,128060,42259,0.67
린나이 INCP2032WJ,가스레인지,3년 사용했습니다. 상태 최상하지만 생활 기스 있음. 추가 액세서리 포함.,143060,103003,0.28
SK매직 GRA-B3218D,가스레인지,1개월 사용했습니다. 상태 양호하지만 화면 금 갔음. 박스 없음.,147990,119871,0.19
린나이 RT-6520I,가스레인지,거의 사용하지 않음. 사용감 있음그리고 생활 기스 있음. 충전기 없음.,188810,154824,0.18
린나이 CPBC611DJ,가스레인지,3년 사용했습니다. 상태 보통그리고 배터리 효율 낮음. 정품 인증서 포함.,176080,102126,0.42
